YEAR,STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
2000,Alabama,AL,934906,707315,14801,1657022,5,2,0,7,0.5693,0.7143
2000,Alaska,AK,190862,45372,38159,274393,1,0,0,1,0.8079,1.0000
2000,Arizona,AZ,854715,557849,53092,1465656,5,1,0,6,0.6051,0.8333
2000,Arkansas,AR,424791,418642,253,843686,1,3,0,4,0.5036,0.2500
2000,California,CA,4572312,5633398,454010,10659720,20,32,0,52,0.4480,0.3846
2000,Colorado,CO,968651,694220,52279,1715150,4,2,0,6,0.5825,0.6667
2000,Connecticut,CT,590689,699237,23564,1313490,3,3,0,6,0.4579,0.5000
2000,Delaware,DE,211797,96488,4841,313126,1,0,0,1,0.6870,1.0000
2000,Florida,FL,3195637,2673139,19174,5887950,15,8,0,23,0.5445,0.6522
2000,Georgia,GA,1498337,1003650,200,2502187,8,3,0,11,0.5989,0.7273
2000,Hawaii,HI,110895,221373,8156,340424,0,2,0,2,0.3338,0.0000
2000,Idaho,ID,332655,142345,17835,492835,2,0,0,2,0.7003,1.0000
2000,Illinois,IL,2125102,2547006,53,4672161,10,10,0,20,0.4548,0.5000
2000,Indiana,IN,1140554,953167,63023,2156744,6,4,0,10,0.5447,0.6000
2000,Iowa,IA,717322,531642,26970,1275934,4,1,0,5,0.5743,0.8000
2000,Kansas,KS,655822,328194,51945,1035961,3,1,0,4,0.6665,0.7500
2000,Kentucky,KY,824915,653607,23161,1501683,5,1,0,6,0.5579,0.8333
2000,Louisiana,LA,907454,604130,124187,1635771,5,2,0,7,0.6003,0.7143
2000,Maine,ME,203437,422606,12356,638399,0,2,0,2,0.3250,0.0000
2000,Maryland,MD,856306,1060934,9524,1926764,4,4,0,8,0.4466,0.5000
2000,Massachusetts,MA,697357,2028305,172716,2898378,0,10,0,10,0.2558,0.0000
2000,Michigan,MI,1786980,2177618,105062,4069660,7,9,0,16,0.4507,0.4375
2000,Minnesota,MN,993371,1234204,136163,2363738,3,5,0,8,0.4459,0.3750
2000,Mississippi,MS,468483,495687,21969,986139,2,3,0,5,0.4859,0.4000
2000,Missouri,MO,1135724,1136020,54044,2325788,5,4,0,9,0.4999,0.5556
2000,Montana,MT,211418,189971,9132,410521,1,0,0,1,0.5267,1.0000
2000,Nebraska,NE,486513,178071,18487,683071,3,0,0,3,0.7321,1.0000
2000,Nevada,NV,330884,224848,30921,586653,1,1,0,2,0.5954,0.5000
2000,New Hampshire,NH,303190,238754,14105,556049,2,0,0,2,0.5594,1.0000
2000,New Jersey,NJ,1384170,1532240,71823,2988233,6,7,0,13,0.4746,0.4615
2000,New Mexico,NM,274017,299841,13656,587514,2,1,0,3,0.4775,0.6667
2000,New York,NY,2303192,3092545,1603086,6998823,12,19,0,31,0.4269,0.3871
2000,North Carolina,NC,1514806,1351407,38670,2904883,7,5,0,12,0.5285,0.5833
2000,North Dakota,ND,127251,151173,7234,285658,0,1,0,1,0.4570,0.0000
2000,Ohio,OH,2311633,2098854,214205,4624692,11,8,0,19,0.5241,0.5789
2000,Oklahoma,OK,701820,396023,27350,1125193,5,1,0,6,0.6393,0.8333
2000,Oregon,OR,607098,790365,42539,1440002,1,4,0,5,0.4344,0.2000
2000,Pennsylvania,PA,2385929,2438013,15176,4839118,11,10,0,21,0.4946,0.5238
2000,Rhode Island,RI,89454,247247,47571,384272,0,2,0,2,0.2657,0.0000
2000,South Carolina,SC,737884,591077,29753,1358714,4,2,0,6,0.5552,0.6667
2000,South Dakota,SD,231083,78321,5357,314761,1,0,0,1,0.7469,1.0000
2000,Tennessee,TN,915871,1123716,20907,2060494,5,4,0,9,0.4490,0.5556
2000,Texas,TX,3339318,3204310,80237,6623865,13,17,0,30,0.5103,0.4333
2000,Utah,UT,426648,304797,27309,758754,2,1,0,3,0.5833,0.6667
2000,Vermont,VT,51977,14918,216471,283366,0,0,1,1, , 
2000,Virginia,VA,1295849,1261158,177947,2734954,6,4,1,11,0.5068,0.6000
2000,Washington,WA,1080793,1245872,66323,2392988,3,6,0,9,0.4645,0.3333
2000,West Virginia,WV,249339,430998,12543,692880,1,2,0,3,0.3665,0.3333
2000,Wisconsin,WI,1311447,1187866,7001,2506314,4,5,0,9,0.5247,0.4444
2000,Wyoming,WY,141848,60638,9826,212312,1,0,0,1,0.7005,1.0000
2002,Alabama,AL,760492,643350,12934,1416776,5,2,0,7,0.5417,0.7143
2002,Alaska,AK,169685,39357,18683,227725,1,0,0,1,0.8117,1.0000
2002,Arizona,AZ,681922,472135,40343,1194400,6,2,0,8,0.5909,0.7500
2002,Arkansas,AR,344918,452719,0,797637,1,3,0,4,0.4324,0.2500
2002,California,CA,3280888,3772073,232960,7285921,20,33,0,53,0.4652,0.3774
2002,Colorado,CO,752998,589463,54627,1397088,5,2,0,7,0.5609,0.7143
2002,Connecticut,CT,465982,509036,14291,989309,3,2,0,5,0.4779,0.6000
2002,Delaware,DE,164605,61011,2789,228405,1,0,0,1,0.7296,1.0000
2002,Florida,FL,2914702,2244138,20334,5179174,18,7,0,25,0.5650,0.7200
2002,Georgia,GA,1201562,876693,0,2078255,8,5,0,13,0.5782,0.6154
2002,Hawaii,HI,116693,232344,10947,359984,0,2,0,2,0.3343,0.0000
2002,Idaho,ID,256348,138038,10637,405023,2,0,0,2,0.6500,1.0000
2002,Illinois,IL,1724058,1823070,31412,3578540,10,9,0,19,0.4860,0.5263
2002,Indiana,IN,840694,640568,40091,1521353,6,3,0,9,0.5676,0.6667
2002,Iowa,IA,546382,453550,12690,1012622,4,1,0,5,0.5464,0.8000
2002,Kansas,KS,536026,341329,15368,892723,3,1,0,4,0.6110,0.7500
2002,Kentucky,KY,708936,406937,4392,1120265,4,2,0,6,0.6353,0.6667
2002,Louisiana,LA,727127,584303,6893,1318323,5,2,0,7,0.5545,0.7143
2002,Maine,ME,205780,289514,0,495294,0,2,0,2,0.4155,0.0000
