YEAR,STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
2006,Alabama,AL,746166,668346,-159529,1418497,5,2,0,7,0.5275,0.7143
2006,Alaska,AK,132743,93879,8023,234645,1,0,0,1,0.5857,1.0000
2006,Arizona,AZ,771246,830745,-108841,1645351,4,4,0,8,0.4814,0.5000
2006,Arkansas,AR,306442,456569,0,763011,1,3,0,4,0.4016,0.2500
2006,California,CA,3629984,4989189,60134,8809027,19,34,0,53,0.4212,0.3585
2006,Colorado,CO,682857,841120,49323,1573300,3,4,0,7,0.4481,0.4286
2006,Connecticut,CT,419895,648653,6191,1074739,1,4,0,5,0.3930,0.2000
2006,Delaware,DE,143897,97565,10232,251694,1,0,0,1,0.5959,1.0000
2006,Florida,FL,2451423,2316075,-110946,4781004,16,9,0,25,0.5142,0.6400
2006,Georgia,GA,1190497,932143,0,2122640,7,6,0,13,0.5609,0.5385
2006,Hawaii,HI,118134,219810,0,337944,0,2,0,2,0.3496,0.0000
2006,Idaho,ID,248105,177376,19825,445306,2,0,0,2,0.5831,1.0000
2006,Illinois,IL,1509933,1986431,23617,3519981,8,11,0,19,0.4319,0.4211
2006,Indiana,IN,831818,812496,22608,1666922,4,5,0,9,0.5059,0.4444
2006,Iowa,IA,522388,492937,17656,1032981,2,3,0,5,0.5145,0.4000
2006,Kansas,KS,459267,369191,16669,845127,2,2,0,4,0.5544,0.5000
2006,Kentucky,KY,679822,601723,13008,1294553,4,2,0,6,0.5305,0.6667
2006,Louisiana,LA,579702,423585,-87272,1010673,4,3,0,7,0.5778,0.5714
2006,Maine,ME,163165,350721,22029,535915,0,2,0,2,0.3175,0.0000
2006,Maryland,MD,686981,1099441,16543,1802965,2,6,0,8,0.3846,0.2500
2006,Massachusetts,MA,679843,1632307,56724,2368874,0,10,0,10,0.2940,0.0000
2006,Michigan,MI,1769107,1951795,73139,3794041,9,6,0,15,0.4755,0.6000
2006,Minnesota,MN,924636,1152621,101717,2178974,3,5,0,8,0.4451,0.3750
2006,Mississippi,MS,304308,421810,-125421,726118,2,2,0,4,0.4191,0.5000
2006,Missouri,MO,1049346,992258,55718,2097322,5,4,0,9,0.5140,0.5556
2006,Montana,MT,239124,158916,8085,406125,1,0,0,1,0.6008,1.0000
2006,Nebraska,NE,334177,261910,0,596087,3,0,0,3,0.5606,1.0000
2006,Nevada,NV,260317,287879,26631,574827,3,0,0,3,0.4749,1.0000
2006,New Hampshire,NH,189615,209434,3620,402669,0,2,0,2,0.4752,0.0000
2006,New Jersey,NJ,1007218,1220174,25882,2253274,6,7,0,13,0.4522,0.4615
2006,New Mexico,NM,247825,313259,0,561084,2,1,0,3,0.4417,0.6667
2006,New York,NY,1429970,2621823,731727,4783520,6,23,0,29,0.3529,0.2069
2006,North Carolina,NC,956777,1044467,0,2001244,6,7,0,13,0.4781,0.4615
2006,North Dakota,ND,74687,142934,0,217621,0,1,0,1,0.3432,0.0000
2006,Ohio,OH,1870390,2081737,9068,3961195,11,7,0,18,0.4733,0.6111
2006,Oklahoma,OK,518025,372888,14281,905194,4,1,0,5,0.5815,0.8000
2006,Oregon,OR,557491,765853,34090,1357434,1,4,0,5,0.4213,0.2000
2006,Pennsylvania,PA,1860332,2229091,33796,4123219,8,11,0,19,0.4549,0.4211
2006,Rhode Island,RI,101971,264949,13634,380554,0,2,0,2,0.2779,0.0000
2006,South Carolina,SC,622163,844082,-357491,1336402,4,2,0,6,0.4243,0.6667
2006,South Dakota,SD,97864,230468,5230,333562,0,1,0,1,0.2981,0.0000
2006,Tennessee,TN,799547,860861,55018,1715426,4,5,0,9,0.4815,0.4444
2006,Texas,TX,2304785,2009525,11067,4432645,20,12,0,32,0.5342,0.6250
2006,Utah,UT,292235,244483,32972,569690,2,1,0,3,0.5445,0.6667
2006,Vermont,VT,117023,139815,5888,262726,0,1,0,1,0.4556,0.0000
2006,Virginia,VA,1281320,1352463,-280440,2657497,8,3,0,11,0.4865,0.7273
2006,Washington,WA,798005,1244095,11956,2054056,3,6,0,9,0.3908,0.3333
2006,West Virginia,WV,190893,263822,98,454813,1,2,0,3,0.4198,0.3333
2006,Wisconsin,WI,1040071,1206713,-183371,2264780,3,5,0,8,0.4629,0.3750
2006,Wyoming,WY,93336,92324,10555,196215,1,0,0,1,0.5027,1.0000
