FILE,YEAR,STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
New,2006,Alabama,AL,746166,572123,3985,1322274,5,2,0,7,0.434,0.2857
Old,2006,Alabama,AL,746166,668346,-159529,1418497,5,2,0,7,0.4725,0.2857
New,2006,Arizona,AZ,771246,692488,43360,1507094,4,4,0,8,0.4731,0.5
Old,2006,Arizona,AZ,771246,830745,-108841,1645351,4,4,0,8,0.5186,0.5
New,2006,California,CA,3664873,4996478,189854,8851205,19,34,0,53,0.5769,0.6415
Old,2006,California,CA,3629984,4989189,60134,8809027,19,34,0,53,0.5788,0.6415
New,2006,Colorado,CO,692690,864064,49323,1606077,3,4,0,7,0.555,0.5714
Old,2006,Colorado,CO,682857,841120,49323,1573300,3,4,0,7,0.5519,0.5714
New,2006,Florida,FL,2555765,2404599,13506,4973870,16,9,0,25,0.4848,0.36
Old,2006,Florida,FL,2451423,2316075,-110946,4781004,16,9,0,25,0.4858,0.36
New,2006,Louisiana,LA,579702,349847,7386,936935,4,3,0,7,0.3764,0.4286
Old,2006,Louisiana,LA,579702,423585,-87272,1010673,4,3,0,7,0.4222,0.4286
New,2006,Maryland,MD,618911,940611,16543,1576065,2,6,0,8,0.6031,0.75
Old,2006,Maryland,MD,686981,1099441,16543,1802965,2,6,0,8,0.6154,0.75
New,2006,Massachusetts,MA,733742,1758074,56724,2548540,0,10,0,10,0.7055,1.0
Old,2006,Massachusetts,MA,679843,1632307,56724,2368874,0,10,0,10,0.706,1.0
New,2006,Michigan,MI,1779301,1975582,73139,3828022,9,6,0,15,0.5261,0.4
Old,2006,Michigan,MI,1769107,1951795,73139,3794041,9,6,0,15,0.5245,0.4
New,2006,Mississippi,MS,304308,314082,0,618390,2,2,0,4,0.5079,0.5
Old,2006,Mississippi,MS,304308,421810,-125421,726118,2,2,0,4,0.5809,0.5
New,2006,New Jersey,NJ,1015217,1238838,25882,2279937,6,7,0,13,0.5496,0.5385
Old,2006,New Jersey,NJ,1007218,1220174,25882,2253274,6,7,0,13,0.5478,0.5385
New,2006,New York,NY,1452278,2704857,731727,4888862,6,23,0,29,0.6507,0.7931
Old,2006,New York,NY,1429970,2621823,731727,4783520,6,23,0,29,0.6471,0.7931
New,2006,North Carolina,NC,960351,1052806,0,2013157,6,7,0,13,0.523,0.5385
Old,2006,North Carolina,NC,956777,1044467,0,2001244,6,7,0,13,0.5219,0.5385
New,2006,Pennsylvania,PA,1866418,2243292,33796,4143506,8,11,0,19,0.5459,0.5789
Old,2006,Pennsylvania,PA,1860332,2229091,33796,4123219,8,11,0,19,0.5451,0.5789
New,2006,South Carolina,SC,622163,616434,-129843,1108754,4,2,0,6,0.4977,0.3333
Old,2006,South Carolina,SC,622163,844082,-357491,1336402,4,2,0,6,0.5757,0.3333
New,2006,Texas,TX,2331589,2026404,118335,4476328,20,12,0,32,0.465,0.375
Old,2006,Texas,TX,2304785,2009525,11067,4432645,20,12,0,32,0.4658,0.375
New,2006,Virginia,VA,1291767,1098893,23714,2414374,8,3,0,11,0.4597,0.2727
Old,2006,Virginia,VA,1281320,1352463,-280440,2657497,8,3,0,11,0.5135,0.2727
New,2006,Wisconsin,WI,1040071,1089456,17996,2147523,3,5,0,8,0.5116,0.625
Old,2006,Wisconsin,WI,1040071,1206713,-183371,2264780,3,5,0,8,0.5371,0.625
