FILE,YEAR,STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
New,2000,California,CA,4572309,5633395,454010,10659714,20,32,0,52,0.552,0.6154
Old,2000,California,CA,4572312,5633398,454010,10659720,20,32,0,52,0.552,0.6154
New,2000,Indiana,IN,1140554,953167,63023,2156744,6,4,0,10,0.4552,0.4
Old,2000,Indiana,IN,1140554,953167,63023,2156744,6,4,0,10,0.4553,0.4
New,2000,Louisiana,LA,877834,568349,64701,1470370,5,2,0,7,0.393,0.2857
Old,2000,Louisiana,LA,907454,604130,124187,1635771,5,2,0,7,0.3997,0.2857
New,2000,South Carolina,SC,737883,591076,29753,1358712,4,2,0,6,0.4448,0.3333
Old,2000,South Carolina,SC,737884,591077,29753,1358714,4,2,0,6,0.4448,0.3333
New,2000,Texas,TX,3339318,3204314,80237,6623869,13,17,0,30,0.4897,0.5667
Old,2000,Texas,TX,3339318,3204310,80237,6623865,13,17,0,30,0.4897,0.5667
New,2000,West Virginia,WV,249338,430997,12543,692878,1,2,0,3,0.6335,0.6667
Old,2000,West Virginia,WV,249339,430998,12543,692880,1,2,0,3,0.6335,0.6667
