YEAR,STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
2000,Alabama,AL,934906,707315,14801,1657022,5,2,0,7,0.430706,0.285714
2000,Alaska,AK,190862,45372,38159,274393,1,0,0,1,0.192064,0
2000,Arizona,AZ,854715,557849,53092,1465656,5,1,0,6,0.394919,0.166667
2000,Arkansas,AR,424791,418642,253,843686,1,3,0,4,0.496355,0.75
2000,California,CA,4572309,5633395,454010,10659714,20,32,0,52,0.551985,0.615385
2000,Colorado,CO,968651,694220,52279,1715150,4,2,0,6,0.417483,0.333333
2000,Connecticut,CT,590689,699237,23564,1313490,3,3,0,6,0.542075,0.5
2000,Delaware,DE,211797,96488,4841,313126,1,0,0,1,0.312983,0
2000,Florida,FL,3195637,2673139,19174,5887950,15,8,0,23,0.455485,0.347826
2000,Georgia,GA,1498337,1003650,200,2502187,8,3,0,11,0.401141,0.272727
2000,Hawaii,HI,110895,221373,8156,340424,0,2,0,2,0.666248,1
2000,Idaho,ID,332655,142345,17835,492835,2,0,0,2,0.299674,0
2000,Illinois,IL,2125102,2547006,53,4672161,10,10,0,20,0.545151,0.5
2000,Indiana,IN,1140554,953167,63023,2156744,6,4,0,10,0.45525,0.4
2000,Iowa,IA,717322,531642,26970,1275934,4,1,0,5,0.425666,0.2
2000,Kansas,KS,655822,328194,51945,1035961,3,1,0,4,0.333525,0.25
2000,Kentucky,KY,824915,653607,23161,1501683,5,1,0,6,0.442068,0.166667
2000,Louisiana,LA,877834,568349,64701,1470370,5,2,0,7,0.392999,0.285714
2000,Maine,ME,203437,422606,12356,638399,0,2,0,2,0.675043,1
2000,Maryland,MD,856306,1060934,9524,1926764,4,4,0,8,0.553365,0.5
2000,Massachusetts,MA,697357,2028305,172716,2898378,0,10,0,10,0.744151,1
2000,Michigan,MI,1786980,2177618,105062,4069660,7,9,0,16,0.549266,0.5625
2000,Minnesota,MN,993371,1234204,136163,2363738,3,5,0,8,0.554057,0.625
2000,Mississippi,MS,468483,495687,21969,986139,2,3,0,5,0.514107,0.6
2000,Missouri,MO,1135724,1136020,54044,2325788,5,4,0,9,0.500065,0.444444
2000,Montana,MT,211418,189971,9132,410521,1,0,0,1,0.473284,0
2000,Nebraska,NE,486513,178071,18487,683071,3,0,0,3,0.267944,0
2000,Nevada,NV,330884,224848,30921,586653,1,1,0,2,0.404598,0.5
2000,New Hampshire,NH,303190,238754,14105,556049,2,0,0,2,0.440551,0
2000,New Jersey,NJ,1384170,1532240,71823,2988233,6,7,0,13,0.525386,0.538462
2000,New Mexico,NM,274017,299841,13656,587514,2,1,0,3,0.5225,0.333333
2000,New York,NY,2303192,3092545,1603086,6998823,12,19,0,31,0.573146,0.612903
2000,North Carolina,NC,1514806,1351407,38670,2904883,7,5,0,12,0.471496,0.416667
2000,North Dakota,ND,127251,151173,7234,285658,0,1,0,1,0.54296,1
2000,Ohio,OH,2311633,2098854,214205,4624692,11,8,0,19,0.475878,0.421053
2000,Oklahoma,OK,701820,396023,27350,1125193,5,1,0,6,0.360728,0.166667
2000,Oregon,OR,607098,790365,42539,1440002,1,4,0,5,0.565571,0.8
2000,Pennsylvania,PA,2385929,2438013,15176,4839118,11,10,0,21,0.505398,0.47619
2000,Rhode Island,RI,89454,247247,47571,384272,0,2,0,2,0.734322,1
2000,South Carolina,SC,737883,591076,29753,1358712,4,2,0,6,0.444766,0.333333
2000,South Dakota,SD,231083,78321,5357,314761,1,0,0,1,0.253135,0
2000,Tennessee,TN,915871,1123716,20907,2060494,5,4,0,9,0.550953,0.444444
2000,Texas,TX,3339318,3204314,80237,6623869,13,17,0,30,0.489684,0.566667
2000,Utah,UT,426648,304797,27309,758754,2,1,0,3,0.416705,0.333333
2000,Vermont,VT,51977,14918,216471,283366,0,0,1,1,,
2000,Virginia,VA,1295849,1261158,177947,2734954,6,4,1,11,0.493216,0.4
2000,Washington,WA,1080793,1245872,66323,2392988,3,6,0,9,0.535475,0.666667
2000,West Virginia,WV,249338,430997,12543,692878,1,2,0,3,0.633507,0.666667
2000,Wisconsin,WI,1311447,1187866,7001,2506314,4,5,0,9,0.475277,0.555556
2000,Wyoming,WY,141848,60638,9826,212312,1,0,0,1,0.299468,0
2002,Alabama,AL,760492,643350,12934,1416776,5,2,0,7,0.458278,0.285714
2002,Alaska,AK,169685,39357,18683,227725,1,0,0,1,0.188273,0
2002,Arizona,AZ,681922,472135,40343,1194400,6,2,0,8,0.409109,0.25
2002,Arkansas,AR,344918,452719,0,797637,1,3,0,4,0.567575,0.75
2002,California,CA,3280888,3772073,232960,7285921,20,33,0,53,0.534821,0.622642
2002,Colorado,CO,752998,589463,54627,1397088,5,2,0,7,0.439091,0.285714
2002,Connecticut,CT,465982,509036,14291,989309,3,2,0,5,0.522079,0.4
2002,Delaware,DE,164605,61011,2789,228405,1,0,0,1,0.27042,0
2002,Florida,FL,2914702,2244138,20334,5179174,18,7,0,25,0.435008,0.28
2002,Georgia,GA,1201562,876693,0,2078255,8,5,0,13,0.421841,0.384615
2002,Hawaii,HI,116693,232344,10947,359984,0,2,0,2,0.665672,1
2002,Idaho,ID,256348,138038,10637,405023,2,0,0,2,0.350007,0
2002,Illinois,IL,1724058,1823070,31412,3578540,10,9,0,19,0.513957,0.473684
2002,Indiana,IN,840694,640568,40091,1521353,6,3,0,9,0.432447,0.333333
2002,Iowa,IA,546382,453550,12690,1012622,4,1,0,5,0.453581,0.2
2002,Kansas,KS,536026,341329,15368,892723,3,1,0,4,0.389043,0.25
2002,Kentucky,KY,708936,406937,4392,1120265,4,2,0,6,0.36468,0.333333
2002,Louisiana,LA,727127,584303,6893,1318323,5,2,0,7,0.445546,0.285714
2002,Maine,ME,205780,289514,0,495294,0,2,0,2,0.58453,1
2002,Maryland,MD,752911,904250,1952,1659113,2,6,0,8,0.545662,0.75
2002,Massachusetts,MA,721120,1607356,58107,2386583,0,10,0,10,0.690304,1
2002,Michigan,MI,1605672,1534415,48843,3188930,9,6,0,15,0.488654,0.4
2002,Minnesota,MN,1029612,1097911,74115,2201638,4,4,0,8,0.516051,0.5
2002,Mississippi,MS,338817,320157,18662,677636,2,2,0,4,0.485842,0.5
2002,Missouri,MO,985905,829177,38481,1853563,5,4,0,9,0.456826,0.444444
2002,Montana,MT,214100,108233,8988,331321,1,0,0,1,0.33578,0
2002,Nebraska,NE,386869,174109,5254,566232,3,0,0,3,0.310367,0
2002,Nevada,NV,301100,171160,29593,501853,2,1,0,3,0.362427,0.333333
2002,New Hampshire,NH,254797,175905,12741,443443,2,0,0,2,0.408415,0
2002,New Jersey,NJ,986184,1030204,32348,2048736,6,7,0,13,0.510916,0.538462
2002,New Mexico,NM,228022,262071,82,490175,2,1,0,3,0.534737,0.333333
2002,New York,NY,1850701,2182820,940460,4973981,10,19,0,29,0.54117,0.655172
2002,North Carolina,NC,1209033,1091950,34847,2335830,7,6,0,13,0.474558,0.461538
2002,North Dakota,ND,109957,121073,0,231030,0,1,0,1,0.524057,1
2002,Ohio,OH,1775555,1385419,50854,3211828,12,6,0,18,0.438289,0.333333
2002,Oklahoma,OK,546832,455444,15209,1017485,4,1,0,5,0.45441,0.2
2002,Oregon,OR,528997,676920,34398,1240315,1,4,0,5,0.561332,0.8
2002,Pennsylvania,PA,1948512,1651814,8713,3609039,12,7,0,19,0.458796,0.368421
2002,Rhode Island,RI,97137,224676,6930,328743,0,2,0,2,0.698157,1
2002,South Carolina,SC,622133,462861,8043,1093037,4,2,0,6,0.426602,0.333333
2002,South Dakota,SD,180023,153551,3117,336691,1,0,0,1,0.460321,0
2002,Tennessee,TN,824349,767652,25563,1617564,4,5,0,9,0.482193,0.555556
2002,Texas,TX,2521725,2239227,51790,4812742,15,17,0,32,0.470332,0.53125
2002,Utah,UT,321986,221401,13766,557153,2,1,0,3,0.407446,0.333333
2002,Vermont,VT,72813,0,152442,225255,0,0,1,1,,
2002,Virginia,VA,1078212,731658,5374,1815244,8,3,0,11,0.40426,0.272727
2002,Washington,WA,778922,907440,52754,1739116,3,6,0,9,0.538105,0.666667
