FILE,YEAR,STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
New,2018,Arizona,AZ,1222096,1259455,3819,2485370,4,5,0,9,0.5075,0.5556
Old,2018,Arizona,AZ,1222097,1259456,3819,2485372,4,5,0,9,0.5075,0.5556
New,2018,Florida,FL,4140327,4189354,38666,8368347,14,13,0,27,0.5029,0.4815
Old,2018,Florida,FL,3768399,3321526,38666,7128591,14,13,0,27,0.4685,0.4815
New,2018,Michigan,MI,1944807,2222793,95297,4262897,6,7,1,14,0.5334,0.5385
Old,2018,Michigan,MI,1938282,2207568,95297,4241147,6,7,1,14,0.5325,0.5385
New,2018,North Carolina,NC,1812821,1810085,42242,3665148,10,3,0,13,0.4996,0.2308
Old,2018,North Carolina,NC,1803368,1725505,230143,3759016,10,3,0,13,0.489,0.2308
