YEAR,STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
2006,Alabama,AL,746166,572123,3985,1322274,5,2,0,7,0.433989,0.285714
2006,Alaska,AK,132743,93879,8023,234645,1,0,0,1,0.414254,0.000000
2006,Arizona,AZ,771246,692488,43360,1507094,4,4,0,8,0.473097,0.500000
2006,Arkansas,AR,306442,456569,0,763011,1,3,0,4,0.598378,0.750000
2006,California,CA,3664873,4996478,189854,8851205,19,34,0,53,0.576871,0.641509
2006,Colorado,CO,692690,864064,49323,1606077,3,4,0,7,0.555042,0.571429
2006,Connecticut,CT,419895,648653,6191,1074739,1,4,0,5,0.607042,0.800000
2006,Delaware,DE,143897,97565,10232,251694,1,0,0,1,0.404059,0.000000
2006,Florida,FL,2555765,2404599,13506,4973870,16,9,0,25,0.484763,0.360000
2006,Georgia,GA,1190497,932143,0,2122640,7,6,0,13,0.439143,0.461538
2006,Hawaii,HI,118134,219810,0,337944,0,2,0,2,0.650433,1.000000
2006,Idaho,ID,248105,177376,19825,445306,2,0,0,2,0.416883,0.000000
2006,Illinois,IL,1509933,1986431,23617,3519981,8,11,0,19,0.568142,0.578947
2006,Indiana,IN,831818,812496,22608,1666922,4,5,0,9,0.494125,0.555556
2006,Iowa,IA,522388,492937,17656,1032981,2,3,0,5,0.485497,0.600000
2006,Kansas,KS,459267,369191,16669,845127,2,2,0,4,0.445636,0.500000
2006,Kentucky,KY,679822,601723,13008,1294553,4,2,0,6,0.469529,0.333333
2006,Louisiana,LA,579702,349847,7386,936935,4,3,0,7,0.376362,0.428571
2006,Maine,ME,163165,350721,22029,535915,0,2,0,2,0.682488,1.000000
2006,Maryland,MD,686981,1099441,16543,1802965,2,6,0,8,0.615443,0.750000
2006,Massachusetts,MA,733742,1758074,56724,2548540,0,10,0,10,0.705539,1.000000
2006,Michigan,MI,1779301,1975582,73139,3828022,9,6,0,15,0.526137,0.400000
2006,Minnesota,MN,924636,1152621,101717,2178974,3,5,0,8,0.554876,0.625000
2006,Mississippi,MS,304308,314082,0,618390,2,2,0,4,0.507903,0.500000
2006,Missouri,MO,1049346,992258,55718,2097322,5,4,0,9,0.486019,0.444444
2006,Montana,MT,239124,158916,8085,406125,1,0,0,1,0.399246,0.000000
2006,Nebraska,NE,334177,261910,0,596087,3,0,0,3,0.439382,0.000000
2006,Nevada,NV,260317,287879,26631,574827,3,0,0,3,0.525139,0.000000
2006,New Hampshire,NH,189615,209434,3620,402669,0,2,0,2,0.524833,1.000000
2006,New Jersey,NJ,1015217,1238838,25882,2279937,6,7,0,13,0.549604,0.538462
2006,New Mexico,NM,247825,313259,0,561084,2,1,0,3,0.558310,0.333333
2006,New York,NY,1452278,2704857,731727,4888862,6,23,0,29,0.650654,0.793103
2006,North Carolina,NC,960351,1052806,0,2013157,6,7,0,13,0.522963,0.538462
2006,North Dakota,ND,74687,142934,0,217621,0,1,0,1,0.656802,1.000000
2006,Ohio,OH,1870390,2081737,9068,3961195,11,7,0,18,0.526738,0.388889
2006,Oklahoma,OK,518025,372888,14281,905194,4,1,0,5,0.418546,0.200000
2006,Oregon,OR,557491,765853,34090,1357434,1,4,0,5,0.578726,0.800000
2006,Pennsylvania,PA,1866418,2243292,33796,4143506,8,11,0,19,0.545852,0.578947
2006,Rhode Island,RI,101971,264949,13634,380554,0,2,0,2,0.722089,1.000000
2006,South Carolina,SC,622163,616434,-129843,1108754,4,2,0,6,0.497687,0.333333
2006,South Dakota,SD,97864,230468,5230,333562,0,1,0,1,0.701936,1.000000
2006,Tennessee,TN,799547,860861,55018,1715426,4,5,0,9,0.518464,0.555556
2006,Texas,TX,2331589,2026404,118335,4476328,20,12,0,32,0.464986,0.375000
2006,Utah,UT,292235,244483,32972,569690,2,1,0,3,0.455515,0.333333
2006,Vermont,VT,117023,139815,5888,262726,0,1,0,1,0.544370,1.000000
2006,Virginia,VA,1291767,1098893,23714,2414374,8,3,0,11,0.459661,0.272727
2006,Washington,WA,798005,1244095,11956,2054056,3,6,0,9,0.609223,0.666667
2006,West Virginia,WV,190893,263822,98,454813,1,2,0,3,0.580192,0.666667
2006,Wisconsin,WI,1040071,1089456,17996,2147523,3,5,0,8,0.511595,0.625000
2006,Wyoming,WY,93336,92324,10555,196215,1,0,0,1,0.497275,0.000000
