STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
Alabama,AL,1055027,678687,1318,1735032,6,1,0,7,0.6085,0.8571
Alaska,AK,149779,131199,1188,282166,1,0,0,1,0.5331,1.0000
Arizona,AZ,1222097,1259456,3819,2485372,4,5,0,9,0.4925,0.4444
Arkansas,AR,556339,312978,19841,889158,4,0,0,4,0.6400,1.0000
California,CA,4638356,8233068,0,12871424,7,46,0,53,0.3604,0.1321
Colorado,CO,1079772,1343211,90924,2513907,3,4,0,7,0.4456,0.4286
Connecticut,CT,512495,808652,58661,1379808,0,5,0,5,0.3879,0.0000
Delaware,DE,125384,227353,1077,353814,0,1,0,1,0.3555,0.0000
Florida,FL,3768399,3321526,38666,7128591,14,13,0,27,0.5315,0.5185
Georgia,GA,2105222,1899391,119,4004732,9,5,0,14,0.5257,0.6429
Hawaiʻi,HI,87348,287921,23388,398657,0,2,0,2,0.2328,0.0000
Idaho,ID,367993,207303,20428,595724,2,0,0,2,0.6397,1.0000
Illinois,IL,1754449,2757540,27715,4539704,5,13,0,18,0.3888,0.2778
Indiana,IN,1247978,1000104,8067,2256149,7,2,0,9,0.5551,0.7778
Iowa,IA,612338,664676,39428,1316442,1,3,0,4,0.4795,0.2500
Kansas,KS,563190,464380,22752,1050322,3,1,0,4,0.5481,0.7500
Kentucky,KY,935304,612977,21517,1569798,5,1,0,6,0.6041,0.8333
Louisiana,LA,917222,553184,25894,1496300,5,1,0,6,0.6238,0.8333
Maine,ME,250119,343635,37580,631334,0,2,0,2,0.4213,0.0000
Maryland,MD,737906,1493047,55331,2286284,1,7,0,8,0.3308,0.1250
Massachusetts,MA,903591,1957288,69964,2930843,0,9,0,9,0.3158,0.0000
Michigan,MI,1938282,2207568,95297,4241147,6,7,1,14,0.4675,0.4615
Minnesota,MN,1125533,1420769,30694,2576996,3,5,0,8,0.4420,0.3750
Mississippi,MS,542914,407271,6513,956698,3,1,0,4,0.5714,0.7500
Missouri,MO,1330975,1027969,59469,2418413,6,2,0,8,0.5642,0.7500
Montana,MT,256661,233284,14476,504421,1,0,0,1,0.5239,1.0000
Nebraska,NE,432077,264493,0,696570,3,0,0,3,0.6203,1.0000
Nevada,NV,439727,491272,29775,960774,1,3,0,4,0.4723,0.2500
New Hampshire,NH,248986,311242,10516,570744,0,2,0,2,0.4444,0.0000
New Jersey,NJ,1198664,1856819,43260,3098743,1,11,0,12,0.3923,0.0833
New Mexico,NM,264701,404026,24584,693311,0,3,0,3,0.3958,0.0000
New York,NY,2079522,3884565,623648,6587735,6,21,0,27,0.3487,0.2222
North Carolina,NC,1803368,1725505,230143,3759016,10,3,0,13,0.5110,0.7692
North Dakota,ND,193568,114377,13587,321532,1,0,0,1,0.6286,1.0000
Ohio,OH,2291333,2082684,32341,4406358,12,4,0,16,0.5239,0.7500
Oklahoma,OK,730531,428452,19853,1178836,4,1,0,5,0.6303,0.8000
Oregon,OR,702531,1061412,83703,1847646,1,4,0,5,0.3983,0.2000
Pennsylvania,PA,2305462,2712665,10950,5029077,9,9,0,18,0.4594,0.5000
Rhode Island,RI,129838,242575,867,373280,0,2,0,2,0.3486,0.0000
South Carolina,SC,927494,758340,23458,1709292,5,2,0,7,0.5502,0.7143
South Dakota,SD,202695,121033,12237,335965,1,0,0,1,0.6261,1.0000
Tennessee,TN,1279655,846450,33720,2159825,7,2,0,9,0.6019,0.7778
Texas,TX,4419328,3955774,126652,8501754,23,13,0,36,0.5277,0.6389
Utah,UT,617307,374009,61190,1052506,3,1,0,4,0.6227,0.7500
Vermont,VT,70705,188547,18978,278230,0,1,0,1,0.2727,0.0000
Virginia,VA,1501558,1885112,18087,3404757,4,7,0,11,0.4434,0.3636
Washington,WA,1096090,1895979,148968,3141037,3,7,0,10,0.3663,0.3000
West Virginia,WV,337146,234568,6277,577991,3,0,0,3,0.5897,1.0000
Wisconsin,WI,1305442,1367492,23020,2695954,5,3,0,8,0.4884,0.6250
Wyoming,WY,127963,59903,17409,205275,1,0,0,1,0.6811,1.0000
