STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
Alabama,AL,1239428,780146,2206,2021780,6,1,0,7,0.6137,0.8571
Alaska,AK,185296,82927,21581,289804,1,0,0,1,0.6908,1.0000
Arizona,AZ,1208369,1021485,71322,2301176,4,5,0,9,0.5419,0.4444
Arkansas,AR,637591,384684,36500,1058775,4,0,0,4,0.6237,1.0000
California,CA,5375910,7734985,0,13110895,15,38,0,53,0.4100,0.2830
Colorado,CO,1194204,1187745,118947,2500896,4,3,0,7,0.5014,0.5714
Connecticut,CT,490580,884398,91533,1466511,0,5,0,5,0.3568,0.0000
Delaware,DE,129757,249933,8369,388059,0,1,0,1,0.3417,0.0000
Florida,FL,4385991,3896635,77670,8360296,17,10,0,27,0.5295,0.6296
Georgia,GA,2104098,1723683,0,3827781,9,5,0,14,0.5497,0.6429
Hawaiʻi,HI,137531,285008,14620,437159,0,2,0,2,0.3255,0.0000
Idaho,ID,406814,208297,20107,635218,2,0,0,2,0.6614,1.0000
Illinois,IL,2207818,2743702,106613,5058133,6,12,0,18,0.4459,0.3333
Indiana,IN,1351760,1142554,59432,2553746,7,2,0,9,0.5419,0.7778
Iowa,IA,726505,772387,37957,1536849,2,2,0,4,0.4847,0.5000
Kansas,KS,740981,378753,28578,1148312,4,0,0,4,0.6617,1.0000
Kentucky,KY,1027582,684744,33051,1745377,5,1,0,6,0.6001,0.8333
Louisiana,LA,1167537,641402,20923,1829862,5,1,0,6,0.6454,0.8333
Maine,ME,265982,427819,30822,724623,0,2,0,2,0.3834,0.0000
Maryland,MD,858406,1626872,100236,2585514,1,7,0,8,0.3454,0.1250
Massachusetts,MA,1031993,2128773,173527,3334293,0,9,0,9,0.3265,0.0000
Michigan,MI,2086804,2327985,159843,4574632,9,5,0,14,0.4727,0.6429
Minnesota,MN,1210409,1560984,41990,2813383,3,5,0,8,0.4368,0.3750
Mississippi,MS,703635,511991,34537,1250163,3,1,0,4,0.5788,0.7500
Missouri,MO,1463586,1119554,92760,2675900,6,2,0,8,0.5666,0.7500
Montana,MT,255468,204939,19333,479740,1,0,0,1,0.5549,1.0000
Nebraska,NE,496276,276239,0,772515,3,0,0,3,0.6424,1.0000
Nevada,NV,457239,453310,63193,973742,2,2,0,4,0.5022,0.5000
New Hampshire,NH,311636,340925,29855,682416,0,2,0,2,0.4776,0.0000
New Jersey,NJ,1430325,1794301,57152,3281778,6,6,0,12,0.4436,0.5000
New Mexico,NM,343269,422189,632,766090,1,2,0,3,0.4484,0.3333
New York,NY,1813085,3952276,1438977,7204338,6,21,0,27,0.3145,0.2222
North Carolina,NC,2137167,2218357,28588,4384112,9,4,0,13,0.4907,0.6923
North Dakota,ND,173585,131870,10769,316224,1,0,0,1,0.5683,1.0000
Ohio,OH,2730958,2517976,107570,5356504,12,4,0,16,0.5203,0.7500
Oklahoma,OK,856872,410324,58739,1325935,5,0,0,5,0.6762,1.0000
Oregon,OR,703495,981291,56525,1741311,1,4,0,5,0.4176,0.2000
Pennsylvania,PA,2710070,2793538,52722,5556330,13,5,0,18,0.4924,0.7222
Rhode Island,RI,161926,232679,33170,427775,0,2,0,2,0.4103,0.0000
South Carolina,SC,1119865,798241,39914,1958020,6,1,0,7,0.5838,0.8571
South Dakota,SD,207640,153789,0,361429,1,0,0,1,0.5745,1.0000
Tennessee,TN,1369562,875534,60794,2305890,7,2,0,9,0.6100,0.7778
Texas,TX,4505460,3313976,192065,8011501,24,12,0,36,0.5762,0.6667
Utah,UT,647873,324309,26715,998897,3,1,0,4,0.6664,0.7500
Vermont,VT,67543,208600,13788,289931,0,1,0,1,0.2446,0.0000
Virginia,VA,1876761,1806025,57669,3740455,8,3,0,11,0.5096,0.7273
Washington,WA,1369540,1636726,0,3006266,4,6,0,10,0.4556,0.4000
West Virginia,WV,384253,257101,0,641354,2,1,0,3,0.5991,0.6667
Wisconsin,WI,1401995,1445015,19040,2866050,5,3,0,8,0.4924,0.6250
Wyoming,WY,166452,57573,26675,250700,1,0,0,1,0.7430,1.0000
