YEAR,STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
2012,Alabama,AL,1239428,780146,2206,2021780,6,1,0,7,0.386292,0.142857
2012,Alaska,AK,185296,82927,21581,289804,1,0,0,1,0.309172,0.000000
2012,Arizona,AZ,1208369,1021485,71322,2301176,4,5,0,9,0.458095,0.555556
2012,Arkansas,AR,637591,384684,36500,1058775,4,0,0,4,0.376302,0.000000
2012,California,CA,5375910,7734985,0,13110895,15,38,0,53,0.589966,0.716981
2012,Colorado,CO,1194204,1187745,118947,2500896,4,3,0,7,0.498644,0.428571
2012,Connecticut,CT,490580,884398,91533,1466511,0,5,0,5,0.643209,1.000000
2012,Delaware,DE,129757,249933,8369,388059,0,1,0,1,0.658255,1.000000
2012,Florida,FL,4385991,3896635,77670,8360296,17,10,0,27,0.470459,0.370370
2012,Georgia,GA,2104098,1723683,0,3827781,9,5,0,14,0.450309,0.357143
2012,Hawaiʻi,HI,137531,285008,14620,437159,0,2,0,2,0.674513,1.000000
2012,Idaho,ID,406814,208297,20107,635218,2,0,0,2,0.338633,0.000000
2012,Illinois,IL,2207818,2743702,106613,5058133,6,12,0,18,0.554113,0.666667
2012,Indiana,IN,1351760,1142554,59432,2553746,7,2,0,9,0.458063,0.222222
2012,Iowa,IA,726505,772387,37957,1536849,2,2,0,4,0.515305,0.500000
2012,Kansas,KS,740981,378753,28578,1148312,4,0,0,4,0.338253,0.000000
2012,Kentucky,KY,1027582,684744,33051,1745377,5,1,0,6,0.399891,0.166667
2012,Louisiana,LA,1167537,641402,20923,1829862,5,1,0,6,0.354574,0.166667
2012,Maine,ME,265982,427819,30822,724623,0,2,0,2,0.616631,1.000000
2012,Maryland,MD,858406,1626872,100236,2585514,1,7,0,8,0.654604,0.875000
2012,Massachusetts,MA,1031993,2128773,173527,3334293,0,9,0,9,0.673499,1.000000
2012,Michigan,MI,2086804,2327985,159843,4574632,9,5,0,14,0.527315,0.357143
2012,Minnesota,MN,1210409,1560984,41990,2813383,3,5,0,8,0.563249,0.625000
2012,Mississippi,MS,703635,511991,34537,1250163,3,1,0,4,0.421175,0.250000
2012,Missouri,MO,1463586,1119554,92760,2675900,6,2,0,8,0.433408,0.250000
2012,Montana,MT,255468,204939,19333,479740,1,0,0,1,0.445126,0.000000
2012,Nebraska,NE,496276,276239,0,772515,3,0,0,3,0.357584,0.000000
2012,Nevada,NV,457239,453310,63193,973742,2,2,0,4,0.497843,0.500000
2012,New Hampshire,NH,311636,340925,29855,682416,0,2,0,2,0.522442,1.000000
2012,New Jersey,NJ,1430325,1794301,57152,3281778,6,6,0,12,0.556437,0.500000
2012,New Mexico,NM,343269,422189,632,766090,1,2,0,3,0.551551,0.666667
2012,New York,NY,1813085,3952276,1438977,7204338,6,21,0,27,0.685521,0.777778
2012,North Carolina,NC,2137167,2218357,28588,4384112,9,4,0,13,0.509320,0.307692
2012,North Dakota,ND,173585,131870,10769,316224,1,0,0,1,0.431717,0.000000
2012,Ohio,OH,2730958,2517976,107570,5356504,12,4,0,16,0.479712,0.250000
2012,Oklahoma,OK,856872,410324,58739,1325935,5,0,0,5,0.323805,0.000000
2012,Oregon,OR,703495,981291,56525,1741311,1,4,0,5,0.582443,0.800000
2012,Pennsylvania,PA,2710070,2793538,52722,5556330,13,5,0,18,0.507583,0.277778
2012,Rhode Island,RI,161926,232679,33170,427775,0,2,0,2,0.589650,1.000000
2012,South Carolina,SC,1119865,798241,39914,1958020,6,1,0,7,0.416161,0.142857
2012,South Dakota,SD,207640,153789,0,361429,1,0,0,1,0.425503,0.000000
2012,Tennessee,TN,1369562,875534,60794,2305890,7,2,0,9,0.389976,0.222222
2012,Texas,TX,4505460,3313976,192065,8011501,24,12,0,36,0.423813,0.333333
2012,Utah,UT,647873,324309,26715,998897,3,1,0,4,0.333589,0.250000
2012,Vermont,VT,67543,208600,13788,289931,0,1,0,1,0.755406,1.000000
2012,Virginia,VA,1876761,1806025,57669,3740455,8,3,0,11,0.490396,0.272727
2012,Washington,WA,1369540,1636726,0,3006266,4,6,0,10,0.544438,0.600000
2012,West Virginia,WV,384253,257101,0,641354,2,1,0,3,0.400872,0.333333
2012,Wisconsin,WI,1401995,1445015,19040,2866050,5,3,0,8,0.507555,0.375000
2012,Wyoming,WY,166452,57573,26675,250700,1,0,0,1,0.256994,0.000000
