YEAR,STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
2014,Alabama,AL,761827,438123,814,1200764,6,1,0,7,0.6349,0.8571
2014,Alaska,AK,142572,114602,22567,279741,1,0,0,1,0.5544,1.0000
2014,Arizona,AZ,869684,701406,13207,1584297,5,4,0,9,0.5536,0.5556
2014,Arkansas,AR,509631,319758,26942,856331,4,0,0,4,0.6145,1.0000
2014,California,CA,3373699,4371395,0,7745094,14,39,0,53,0.4356,0.2642
2014,Colorado,CO,1000197,936417,63911,2000525,4,3,0,7,0.5165,0.5714
2014,Connecticut,CT,409513,596390,61954,1067857,0,5,0,5,0.4071,0.0000
2014,Delaware,DE,85146,137251,9220,231617,0,1,0,1,0.3829,0.0000
2014,Florida,FL,3306606,2630822,49133,5986561,17,10,0,27,0.5569,0.6296
2014,Georgia,GA,1565508,1201736,0,2767244,10,4,0,14,0.5657,0.7143
2014,Hawaiʻi,HI,120084,235400,14219,369703,0,2,0,2,0.3378,0.0000
2014,Idaho,ID,275072,160078,7,435157,2,0,0,2,0.6321,1.0000
2014,Illinois,IL,1721865,1822779,23358,3568002,8,10,0,18,0.4858,0.4444
2014,Indiana,IN,788762,502104,50948,1341814,7,2,0,9,0.6110,0.7778
2014,Iowa,IA,595865,509189,15280,1120334,3,1,0,4,0.5392,0.7500
2014,Kansas,KS,540756,311530,9791,862077,4,0,0,4,0.6345,1.0000
2014,Kentucky,KY,887157,508151,2318,1397626,5,1,0,6,0.6358,0.8333
2014,Louisiana,LA,1112701,595668,-27328,1681041,5,1,0,6,0.6513,0.8333
2014,Maine,ME,228071,305242,83683,616996,1,1,0,2,0.4276,0.5000
2014,Maryland,MD,704400,978267,20370,1703037,1,7,0,8,0.4186,0.1250
2014,Massachusetts,MA,783834,1538040,36507,2358381,0,9,0,9,0.3376,0.0000
2014,Michigan,MI,1466749,1519030,103698,3089477,9,5,0,14,0.4912,0.6429
2014,Minnesota,MN,913539,985760,64240,1963539,3,5,0,8,0.4810,0.3750
2014,Mississippi,MS,377127,240774,19138,637039,3,1,0,4,0.6103,0.7500
2014,Missouri,MO,838283,513600,74420,1426303,6,2,0,8,0.6201,0.7500
2014,Montana,MT,203871,148690,15402,367963,1,0,0,1,0.5783,1.0000
2014,Nebraska,NE,340816,185234,9480,535530,2,1,0,3,0.6479,0.6667
2014,Nevada,NV,304809,210147,28053,543009,3,1,0,4,0.5919,0.7500
2014,New Hampshire,NH,232379,247469,1072,480920,1,1,0,2,0.4843,0.5000
2014,New Jersey,NJ,877265,914172,29928,1821365,6,6,0,12,0.4897,0.5000
2014,New Mexico,NM,240542,271222,121,511885,1,2,0,3,0.4700,0.3333
2014,New York,NY,1727550,2339114,578983,4645647,9,18,0,27,0.4248,0.3333
2014,North Carolina,NC,1555364,1303918,8019,2867301,10,3,0,13,0.5440,0.7692
2014,North Dakota,ND,138100,95678,14892,248670,1,0,0,1,0.5907,1.0000
2014,Ohio,OH,1770923,1241284,49651,3061858,12,4,0,16,0.5879,0.7500
2014,Oklahoma,OK,571960,223028,21778,816766,5,0,0,5,0.7195,1.0000
2014,Oregon,OR,582909,778139,89654,1450702,1,4,0,5,0.4283,0.2000
2014,Pennsylvania,PA,1901801,1524723,22734,3449258,13,5,0,18,0.5550,0.7222
2014,Rhode Island,RI,122721,192776,760,316257,0,2,0,2,0.3890,0.0000
2014,South Carolina,SC,738113,483954,13281,1235348,6,1,0,7,0.6040,0.8571
2014,South Dakota,SD,183834,92485,0,276319,1,0,0,1,0.6653,1.0000
2014,Tennessee,TN,848846,497935,49957,1396738,7,2,0,9,0.6303,0.7778
2014,Texas,TX,2929985,1996658,106173,5032816,25,11,0,36,0.5947,0.6944
2014,Utah,UT,351034,183491,31445,565970,4,0,0,4,0.6567,1.0000
2014,Vermont,VT,59432,123349,8723,191504,0,1,0,1,0.3252,0.0000
2014,Virginia,VA,1228848,1014708,-17363,2226193,8,3,0,11,0.5477,0.7273
2014,Washington,WA,981853,1113352,0,2095205,4,6,0,10,0.4686,0.4000
2014,West Virginia,WV,242823,182484,14081,439388,3,0,0,3,0.5709,1.0000
2014,Wisconsin,WI,1233336,1102581,19663,2355580,5,3,0,8,0.5280,0.6250
2014,Wyoming,WY,113038,37803,20312,171153,1,0,0,1,0.7494,1.0000
