STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
Alabama,AL,934906,707315,14801,1657022,5,2,0,7,0.5693,0.7143
Alaska,AK,190862,45372,38159,274393,1,0,0,1,0.8079,1.0000
Arizona,AZ,854715,557849,53092,1465656,5,1,0,6,0.6051,0.8333
Arkansas,AR,424791,418642,253,843686,1,3,0,4,0.5036,0.2500
California,CA,4572312,5633398,454010,10659720,20,32,0,52,0.4480,0.3846
Colorado,CO,968651,694220,52279,1715150,4,2,0,6,0.5825,0.6667
Connecticut,CT,590689,699237,23564,1313490,3,3,0,6,0.4579,0.5000
Delaware,DE,211797,96488,4841,313126,1,0,0,1,0.6870,1.0000
Florida,FL,3195637,2673139,19174,5887950,15,8,0,23,0.5445,0.6522
Georgia,GA,1498337,1003650,200,2502187,8,3,0,11,0.5989,0.7273
Hawaiʻi,HI,110895,221373,8156,340424,0,2,0,2,0.3338,0.0000
Idaho,ID,332655,142345,17835,492835,2,0,0,2,0.7003,1.0000
Illinois,IL,2125102,2547006,53,4672161,10,10,0,20,0.4548,0.5000
Indiana,IN,1140554,953167,63023,2156744,6,4,0,10,0.5447,0.6000
Iowa,IA,717322,531642,26970,1275934,4,1,0,5,0.5743,0.8000
Kansas,KS,655822,328194,51945,1035961,3,1,0,4,0.6665,0.7500
Kentucky,KY,824915,653607,23161,1501683,5,1,0,6,0.5579,0.8333
Louisiana,LA,907454,604130,124187,1635771,5,2,0,7,0.6003,0.7143
Maine,ME,203437,422606,12356,638399,0,2,0,2,0.3250,0.0000
Maryland,MD,856306,1060934,9524,1926764,4,4,0,8,0.4466,0.5000
Massachusetts,MA,697357,2028305,172716,2898378,0,10,0,10,0.2558,0.0000
Michigan,MI,1786980,2177618,105062,4069660,7,9,0,16,0.4507,0.4375
Minnesota,MN,993371,1234204,136163,2363738,3,5,0,8,0.4459,0.3750
Mississippi,MS,468483,495687,21969,986139,2,3,0,5,0.4859,0.4000
Missouri,MO,1135724,1136020,54044,2325788,5,4,0,9,0.4999,0.5556
Montana,MT,211418,189971,9132,410521,1,0,0,1,0.5267,1.0000
Nebraska,NE,486513,178071,18487,683071,3,0,0,3,0.7321,1.0000
Nevada,NV,330884,224848,30921,586653,1,1,0,2,0.5954,0.5000
New Hampshire,NH,303190,238754,14105,556049,2,0,0,2,0.5594,1.0000
New Jersey,NJ,1384170,1532240,71823,2988233,6,7,0,13,0.4746,0.4615
New Mexico,NM,274017,299841,13656,587514,2,1,0,3,0.4775,0.6667
New York,NY,2303192,3092545,1603086,6998823,12,19,0,31,0.4269,0.3871
North Carolina,NC,1514806,1351407,38670,2904883,7,5,0,12,0.5285,0.5833
North Dakota,ND,127251,151173,7234,285658,0,1,0,1,0.4570,0.0000
Ohio,OH,2311633,2098854,214205,4624692,11,8,0,19,0.5241,0.5789
Oklahoma,OK,701820,396023,27350,1125193,5,1,0,6,0.6393,0.8333
Oregon,OR,607098,790365,42539,1440002,1,4,0,5,0.4344,0.2000
Pennsylvania,PA,2385929,2438013,15176,4839118,11,10,0,21,0.4946,0.5238
Rhode Island,RI,89454,247247,47571,384272,0,2,0,2,0.2657,0.0000
South Carolina,SC,737884,591077,29753,1358714,4,2,0,6,0.5552,0.6667
South Dakota,SD,231083,78321,5357,314761,1,0,0,1,0.7469,1.0000
Tennessee,TN,915871,1123716,20907,2060494,5,4,0,9,0.4490,0.5556
Texas,TX,3339318,3204310,80237,6623865,13,17,0,30,0.5103,0.4333
Utah,UT,426648,304797,27309,758754,2,1,0,3,0.5833,0.6667
Vermont,VT,51977,14918,216471,283366,0,0,1,1, , 
Virginia,VA,1295849,1261158,177947,2734954,6,4,1,11,0.5068,0.6000
Washington,WA,1080793,1245872,66323,2392988,3,6,0,9,0.4645,0.3333
West Virginia,WV,249339,430998,12543,692880,1,2,0,3,0.3665,0.3333
Wisconsin,WI,1311447,1187866,7001,2506314,4,5,0,9,0.5247,0.4444
Wyoming,WY,141848,60638,9826,212312,1,0,0,1,0.7005,1.0000
