STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S
Alabama,AL,849229,485660,104105,1438994,5,2,0,7
Alaska,AK,190862,45372,38159,274393,1,0,0,1
Arizona,AZ,854715,557849,53092,1465656,5,1,0,6
Arkansas,AR,277146,355366,253,632765,1,3,0,4
California,CA,4446295,5406623,583689,10436607,20,32,0,52
Colorado,CO,968651,496045,159186,1623882,4,2,0,6
Connecticut,CT,590689,699237,23564,1313490,3,3,0,6
Delaware,DE,211797,96488,4841,313126,1,0,0,1
Florida,FL,2851623,1976189,183408,5011220,15,8,0,23
Georgia,GA,1498337,918085,200,2416622,8,3,0,11
Hawaii,HI,110895,221373,8156,340424,0,2,0,2
Idaho,ID,332655,142345,17835,492835,2,0,0,2
Illinois,IL,1907306,2453674,32306,4393286,10,10,0,20
Indiana,IN,1140554,953167,63023,2156744,6,4,0,10
Iowa,IA,717322,531642,26970,1275934,4,1,0,5
Kansas,KS,655822,328194,51945,1035961,3,1,0,4
Kentucky,KY,824915,561752,48742,1435409,5,1,0,6
Louisiana,LA,747115,359668,95388,1202171,5,2,0,7
Maine,ME,203437,422606,12356,638399,0,2,0,2
Maryland,MD,856306,1060934,9524,1926764,4,4,0,8
Massachusetts,MA,343498,1967942,422532,2733972,0,10,0,10
Michigan,MI,1786980,2177618,105062,4069660,7,9,0,16
Minnesota,MN,993371,1234204,136163,2363738,3,5,0,8
Mississippi,MS,468483,495687,21969,986139,2,3,0,5
Missouri,MO,1135724,1136020,54044,2325788,5,4,0,9
Montana,MT,211418,189971,9132,410521,1,0,0,1
Nebraska,NE,486513,178071,18487,683071,3,0,0,3
Nevada,NV,330884,224848,30921,586653,1,1,0,2
New Hampshire,NH,303190,238754,14105,556049,2,0,0,2
New Jersey,NJ,1384170,1532240,71823,2988233,6,7,0,13
New Mexico,NM,274017,299841,13656,587514,2,1,0,3
New York,NY,2235461,3051701,1661514,6948676,12,19,0,31
North Carolina,NC,1514806,1193600,71394,2779800,7,5,0,12
North Dakota,ND,127251,151173,7234,285658,0,1,0,1
Ohio,OH,2235463,2098854,250721,4585038,11,8,0,19
Oklahoma,OK,701820,336955,48740,1087515,5,1,0,6
Oregon,OR,607098,790365,42539,1440002,1,4,0,5
Pennsylvania,PA,2229057,2279227,43726,4552010,11,10,0,21
Rhode Island,RI,89454,247247,47571,384272,0,2,0,2
South Carolina,SC,729803,523141,68368,1321312,4,2,0,6
South Dakota,SD,231083,78321,5357,314761,1,0,0,1
Tennessee,TN,991984,819100,43294,1854378,5,4,0,9
Texas,TX,2932411,2799051,254301,5985763,13,17,0,30
Utah,UT,426648,304797,27309,758754,2,1,0,3
Vermont,VT,51977,14918,216471,283366,0,0,1,1
Virginia,VA,1131999,1060484,229246,2421729,6,4,1,11
Washington,WA,997877,1245872,138662,2382411,3,6,0,9
West Virginia,WV,108769,420784,50319,579872,1,2,0,3
Wisconsin,WI,1311447,1187866,7001,2506314,4,5,0,9
Wyoming,WY,141848,60638,9826,212312,1,0,0,1
