STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S
Alabama,AL,914445,418957,34345,1367747,6,1,0,7
Alaska,AK,175384,77606,1345,254335,1,0,0,1
Arizona,AZ,900510,711837,85798,1698145,5,3,0,8
Arkansas,AR,435422,317975,20728,774125,3,1,0,4
California,CA,4195494,5148828,303774,9648096,19,34,0,53
Colorado,CO,884032,800900,78220,1763152,4,3,0,7
Connecticut,CT,457976,634947,45279,1138202,0,5,0,5
Delaware,DE,125442,173543,6651,305636,0,1,0,1
Florida,FL,3004225,1853600,259595,5117420,19,6,0,25
Georgia,GA,1528142,940347,191,2468680,8,5,0,13
Hawaiʻi,HI,129127,226430,4564,360121,0,2,0,2
Idaho,ID,263699,150884,32561,447144,2,0,0,2
Illinois,IL,1720016,1876316,99827,3696159,11,8,0,19
Indiana,IN,972671,679462,95587,1747720,6,3,0,9
Iowa,IA,597414,479874,29303,1106591,2,3,0,5
Kansas,KS,528136,274992,32401,835529,4,0,0,4
Kentucky,KY,844369,506319,3610,1354298,4,2,0,6
Louisiana,LA,675386,311221,49340,1035947,6,1,0,7
Maine,ME,248170,316156,42,564368,0,2,0,2
Maryland,MD,674246,1104056,47170,1825472,2,6,0,8
Massachusetts,MA,808305,1335738,80212,2224255,0,10,0,10
Michigan,MI,1671707,1415212,107982,3194901,9,6,0,15
Minnesota,MN,970741,1002026,117824,2090591,4,4,0,8
Mississippi,MS,423579,350695,14275,788549,3,1,0,4
Missouri,MO,1103290,708064,109321,1920675,6,3,0,9
Montana,MT,217696,121954,20691,360341,1,0,0,1
Nebraska,NE,327986,137524,20036,485546,3,0,0,3
Nevada,NV,357369,317835,27584,702788,2,1,0,3
New Hampshire,NH,230265,200563,18959,449787,2,0,0,2
New Jersey,NJ,1055299,1024730,41555,2121584,6,7,0,13
New Mexico,NM,288885,307766,0,596651,1,2,0,3
New York,NY,1612724,2514801,616258,4743783,8,21,0,29
North Carolina,NC,1440913,1204635,17001,2662549,6,7,0,13
North Dakota,ND,129802,106542,0,236344,1,0,0,1
Ohio,OH,2053075,1611112,161087,3825274,13,5,0,18
Oklahoma,OK,519562,221966,51451,792979,4,1,0,5
Oregon,OR,657007,733369,38980,1429356,1,4,0,5
Pennsylvania,PA,2034145,1882202,40054,3956401,12,7,0,19
Rhode Island,RI,126951,185711,22822,335484,0,2,0,2
South Carolina,SC,753932,537323,48934,1340189,5,1,0,6
South Dakota,SD,153703,146589,19134,319426,1,0,0,1
Tennessee,TN,955078,541527,62524,1559129,7,2,0,9
Texas,TX,3058203,1450150,237192,4745545,23,9,0,32
Utah,UT,390969,218236,31290,640495,2,1,0,3
Vermont,VT,76403,154006,8112,238521,0,1,0,1
Virginia,VA,1186098,911116,92627,2189841,8,3,0,11
Washington,WA,1135166,1296502,47741,2479409,4,5,0,9
West Virginia,WV,283085,227857,3431,514373,2,1,0,3
Wisconsin,WI,1165761,938690,36031,2140482,5,3,0,8
Wyoming,WY,131661,45768,13393,190822,1,0,0,1
