STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S
Alabama,AL,502046,627501,10605,1140152,2,5,0,7
Alaska,AK,93879,132743,8023,234645,0,1,0,1
Arizona,AZ,627259,771246,94645,1493150,4,4,0,8
Arkansas,AR,456569,306442,0,763011,3,1,0,4
California,CA,4720164,3314398,261221,8295783,34,19,0,53
Colorado,CO,832902,623858,82148,1538908,4,3,0,7
Connecticut,CT,648653,419895,6191,1074739,4,1,0,5
Delaware,DE,97565,143897,10232,251694,0,1,0,1
Florida,FL,1599968,2182833,69141,3851942,9,16,0,25
Georgia,GA,932143,1138048,0,2070191,6,7,0,13
Hawaiʻi,HI,219810,118134,0,337944,2,0,0,2
Idaho,ID,177376,248105,19825,445306,0,2,0,2
Illinois,IL,1986431,1442526,23624,3452581,11,8,0,19
Indiana,IN,812496,831818,22608,1666922,5,4,0,9
Iowa,IA,492937,522388,17656,1032981,3,2,0,5
Kansas,KS,369191,459267,16669,845127,2,2,0,4
Kentucky,KY,601723,611780,40023,1253526,2,4,0,6
Louisiana,LA,309279,579702,27034,916015,3,4,0,7
Maine,ME,350721,163165,22029,535915,2,0,0,2
Maryland,MD,1099441,546862,54899,1701202,6,2,0,8
Massachusetts,MA,1632307,198550,412978,2243835,10,0,0,10
Michigan,MI,1923485,1624865,98076,3646426,6,9,0,15
Minnesota,MN,1152621,924636,101717,2178974,5,3,0,8
Mississippi,MS,260330,304308,36059,600697,2,2,0,4
Missouri,MO,992258,1049346,55718,2097322,4,5,0,9
Montana,MT,158916,239124,8085,406125,0,1,0,1
Nebraska,NE,261910,334177,0,596087,0,3,0,3
Nevada,NV,287879,260317,26631,574827,0,3,0,3
New Hampshire,NH,209434,189615,3620,402669,2,0,0,2
New Jersey,NJ,1207782,903176,25882,2136840,7,6,0,13
New Mexico,NM,313259,247825,0,561084,1,2,0,3
New York,NY,2537778,1160460,988959,4687197,23,6,0,29
North Carolina,NC,1026915,913893,0,1940808,7,6,0,13
North Dakota,ND,142934,74687,0,217621,1,0,0,1
Ohio,OH,2081737,1870390,9068,3961195,7,11,0,18
Oklahoma,OK,372888,518025,14281,905194,1,4,0,5
Oregon,OR,765853,557491,34090,1357434,4,1,0,5
Pennsylvania,PA,2229091,1732163,52134,4013388,11,8,0,19
Rhode Island,RI,264949,41836,66363,373148,2,0,0,2
South Carolina,SC,472719,599615,13872,1086206,2,4,0,6
South Dakota,SD,230468,97864,5230,333562,1,0,0,1
Tennessee,TN,860861,799547,55018,1715426,5,4,0,9
Texas,TX,1830586,2093937,216268,4140791,12,20,0,32
Utah,UT,244483,292235,32972,569690,1,2,0,3
Vermont,VT,139815,117023,5888,262726,1,0,0,1
Virginia,VA,947103,1222790,127343,2297236,3,8,0,11
Washington,WA,1244095,798005,11956,2054056,6,3,0,9
West Virginia,WV,263822,190893,98,454813,2,1,0,3
Wisconsin,WI,1003156,1040071,20186,2063413,5,3,0,8
Wyoming,WY,92324,93336,10555,196215,0,1,0,1
