STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S
Alabama,AL,1079657,708425,4677,1792759,5,2,0,7
Alaska,AK,213216,67074,19706,299996,1,0,0,1
Arizona,AZ,1127591,597526,146328,1871445,6,2,0,8
Arkansas,AR,357840,426380,7020,791240,1,3,0,4
California,CA,5030821,6223698,369234,11623753,20,33,0,53
Colorado,CO,991835,995283,51893,2039011,4,3,0,7
Connecticut,CT,629934,785747,13057,1428738,3,2,0,5
Delaware,DE,245978,105716,4351,356045,1,0,0,1
Florida,FL,3319296,2212324,95874,5627494,18,7,0,25
Georgia,GA,1819817,1140869,77,2960763,7,6,0,13
Hawaiʻi,HI,148443,261884,6243,416570,0,2,0,2
Idaho,ID,401366,171060,0,572426,2,0,0,2
Illinois,IL,2271676,2675273,41716,4988665,9,10,0,19
Indiana,IN,1381699,999082,35470,2416251,7,2,0,9
Iowa,IA,822653,624620,10888,1458161,4,1,0,5
Kansas,KS,723794,386970,45619,1156383,3,1,0,4
Kentucky,KY,1017379,602085,15779,1635243,5,1,0,6
Louisiana,LA,780433,478182,0,1258615,5,2,0,7
Maine,ME,283210,418380,8586,710176,0,2,0,2
Maryland,MD,896232,1310791,46497,2253520,2,6,0,8
Massachusetts,MA,435239,2059984,432232,2927455,0,10,0,10
Michigan,MI,2288594,2242435,100300,4631329,9,6,0,15
Minnesota,MN,1236094,1399624,85963,2721681,4,4,0,8
Mississippi,MS,658589,334605,123009,1116203,2,2,0,4
Missouri,MO,1429767,1192674,44582,2667023,5,4,0,9
Montana,MT,286076,145606,12548,444230,1,0,0,1
Nebraska,NE,515115,230697,19160,764972,3,0,0,3
Nevada,NV,420711,333912,36810,791433,2,1,0,3
New Hampshire,NH,396024,243506,12036,651566,2,0,0,2
New Jersey,NJ,1514784,1721392,48419,3284595,7,6,0,13
New Mexico,NM,357805,384900,194,742899,2,1,0,3
New York,NY,2209291,3457124,1781388,7447803,9,20,0,29
North Carolina,NC,1743131,1669864,76,3413071,7,6,0,13
North Dakota,ND,125684,185130,0,310814,0,1,0,1
Ohio,OH,2650122,2514613,18771,5183506,12,6,0,18
Oklahoma,OK,875033,389029,110548,1374610,4,1,0,5
Oregon,OR,761545,951688,59073,1772306,1,4,0,5
Pennsylvania,PA,2565077,2478239,107819,5151135,12,7,0,19
Rhode Island,RI,112958,279315,9902,402175,0,2,0,2
South Carolina,SC,913168,486479,39471,1439118,4,2,0,6
South Dakota,SD,178823,207837,2808,389468,0,1,0,1
Tennessee,TN,1160821,1031959,25958,2218738,4,5,0,9
Texas,TX,4012534,2713968,232101,6958603,21,11,0,32
Utah,UT,520403,361628,26826,908857,2,1,0,3
Vermont,VT,74271,21684,209053,305008,0,0,1,1
Virginia,VA,1817422,1023187,163398,3004007,8,3,0,11
Washington,WA,1095493,1608751,25751,2729995,3,6,0,9
West Virginia,WV,303042,415396,3218,721656,1,2,0,3
Wisconsin,WI,1380819,1368537,72257,2821613,4,4,0,8
Wyoming,WY,132107,99989,7067,239163,1,0,0,1
